Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2018-04-25 15:58:25.467 +0530,"Success",0:00:00,0,0,0,"20180425_155825.467/LogFile.txt","","",1
2018-04-25 15:59:16.459 +0530,"Success",0:00:00,0,0,0,"20180425_155916.459/LogFile.txt","","",1
2018-04-25 16:01:31.981 +0530,"Success",0:00:00,0,0,0,"20180425_160131.981/LogFile.txt","","",1
2018-04-25 16:03:06.831 +0530,"Success",0:00:00,0,0,0,"20180425_160306.831/LogFile.txt","","",1
2018-04-25 16:03:32.262 +0530,"Success",0:00:00,0,0,0,"20180425_160332.262/LogFile.txt","","",1
2018-04-25 17:19:01.519 +0530,"Success",0:00:00,0,0,0,"20180425_171901.519/LogFile.txt","","",1
2018-04-25 17:19:35.547 +0530,"Success",0:00:00,0,0,0,"20180425_171935.547/LogFile.txt","","",1
2018-04-25 17:20:11.677 +0530,"Success",0:00:04,0,0,0,"20180425_172011.677/LogFile.txt","","",1
