Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2018-04-26 09:53:25.320 +0530,"Success",0:00:04,0,0,0,"20180426_095325.320/LogFile.txt","","",1
2018-04-26 09:56:57.784 +0530,"Running",0:00:00,0,0,0,"20180426_095657.784/LogFile.txt","","",0
2018-04-26 09:57:27.173 +0530,"Success",0:00:00,0,0,0,"20180426_095727.173/LogFile.txt","","",1
2018-04-26 09:59:19.683 +0530,"Running",0:00:00,0,0,0,"20180426_095919.683/LogFile.txt","","",0
2018-04-26 09:59:46.971 +0530,"Success",0:00:04,0,0,0,"20180426_095946.971/LogFile.txt","","",1
2018-04-26 10:01:29.196 +0530,"Success",0:00:08,0,0,0,"20180426_100129.196/LogFile.txt","","",1
2018-04-26 10:07:53.831 +0530,"Failure",0:01:02,1,0,1,"20180426_100753.831/LogFile.txt","","Image Not Found -- click Error - No Text Found On Screen: ""(TEXT:""Don't"")""",0
